subdomain_key,subdomain_label,procedure_code,procedure_title,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url,raw_data_file
giay_phep_lai_xe,Giấy phép lái xe,3.000346,Cấp giấy phép lái xe,cap_moi_gplx,cap_giay_phep_lai_xe,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,7 ngày | 3 ngày | 3 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdab-71cb-b809-61394dd0cabf,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000346\3_000346_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000347,Đổi giấy phép lái xe,doi_gplx,doi_giay_phep_lai_xe,Công an cấp Xã,Trực tuyến | Trực tiếp,5 ngày làm việc | 5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bda8-740c-9f49-ddaae438530d,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000347\3_000347_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000348,Cấp lại giấy phép lái xe,cap_lai_gplx,cap_lai_giay_phep_lai_xe,Công an cấp Xã,Trực tuyến | Trực tiếp,5 ngày làm việc | 5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdb6-7217-affe-2819858d612c,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000348\3_000348_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000349,Đổi giấy phép lái xe quân sự do Bộ Quốc phòng cấp,doi_gplx_quan_su,doi_giay_phep_lai_xe_quan_su_do_bo_quoc_phong_cap,Công an cấp Xã,Trực tiếp,5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdb6-726d-901c-b37c0d197b8d,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000349\3_000349_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000350,Đổi giấy phép lái xe Công an nhân dân,doi_gplx_cong_an,doi_giay_phep_lai_xe_cong_an_nhan_dan,Công an cấp Xã,Trực tiếp,5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bda8-740c-9f49-d8c9574b9e8c,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000350\3_000350_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000351,Đổi giấy phép lái xe hoặc bằng lái xe của người nước ngoài,doi_gplx_nuoc_ngoai,doi_giay_phep_lai_xe_hoac_bang_lai_xe_cua_nguoi_nuoc_ngoai,Công an cấp Xã,Trực tiếp,5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdb8-71ce-b6c1-a3c964a0956f,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000351\3_000351_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000352,Thu hồi giấy phép lái xe,thu_hoi_gplx,thu_hoi_giay_phep_lai_xe,,Trực tiếp,5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdb3-71bd-be57-c83ddb59c21e,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000352\3_000352_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000353,Cấp giấy phép lái xe quốc tế,gplx_quoc_te,cap_giay_phep_lai_xe_quoc_te,,Trực tuyến | Trực tiếp,5 ngày làm việc | 5 ngày làm việc,1,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdae-722c-89a4-d9e6d20a86b1,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000353\3_000353_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000355,"Cấp giấy phép sát hạch cho trung tâm sát hạch lái xe loại 1, loại 2",co_so_sat_hach,cap_giay_phep_sat_hach_cho_trung_tam_sat_hach_lai_xe_loai_1_loai_2,,Dịch vụ bưu chính | Trực tiếp,5 ngày làm việc | 5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdc5-750e-82fd-552e8d66dc19,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000355\3_000355_procedure_detail.md
giay_phep_lai_xe,Giấy phép lái xe,3.000356,"Cấp lại giấy phép sát hạch cho trung tâm sát hạch lái xe loại 1, loại 2",co_so_sat_hach,cap_lai_giay_phep_sat_hach_cho_trung_tam_sat_hach_lai_xe_loai_1_loai_2,,Trực tiếp,3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-bdc4-72f9-b485-27ced4a5eacb,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000356\3_000356_procedure_detail.md
